n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
6015,0.003216387616292602,"[0.00236596422719867, 0.004090202120332502]","[0.0025030267983873647, 0.003950422765536159]",9.999000099990002e-05,6.522610539435391e-21,0.09501408481801776,"[0.06922722987990547, 0.12089627829373278]",primary,ml1m,shapley-mc,uniform,NDCG@20,0.0007999200079992001,5.218088431548313e-20
6015,0.0031206105822111385,"[0.002258852147306733, 0.0040049951408395665]","[0.002394116942909393, 0.00385794005215295]",9.999000099990002e-05,3.7196654188976653e-20,0.09079888629860398,"[0.06516017784192409, 0.11674627123814817]",primary,ml1m,shapley-mc,additive-pref,NDCG@20,0.0007999200079992001,2.603765793228366e-19
6015,0.002740353459351621,"[0.0018069992288445552, 0.0036815034546134663]","[0.0019636303835743976, 0.00352430060566916]",9.999000099990002e-05,7.558938344419829e-17,0.07421952149760187,"[0.047824092051614524, 0.10172430026255518]",primary,ml1m,shapley-mc,attention,NDCG@20,0.0007999200079992001,4.535363006651897e-16
6015,-0.0005320968532003325,"[-0.0011601269260598502, 0.00011645741640897761]","[-0.0010681799266001664, 9.409613133831966e-06]",0.10358964103589641,1.7533756259692713e-05,-0.02096639149014821,"[-0.046238600028759645, 0.004472277663381792]",primary,ml1m,shapley-mc,loo-marginal,NDCG@20,0.20717928207179281,3.5067512519385427e-05
6015,0.008179551122194513,"[0.005652535328345802, 0.010773067331670822]","[0.0060515378221113894, 0.01034081463009144]",9.999000099990002e-05,5.914517223093519e-11,0.080250755878624,"[0.05624990107139873, 0.1045448958842876]",primary,ml1m,shapley-mc,uniform,HitRate@20,0.0007999200079992001,2.95725861154676e-10
6015,0.008046550290939319,"[0.00541978387364921, 0.010606816292601831]","[0.0058836242726517055, 0.010207813798836242]",9.999000099990002e-05,1.0781864122349345e-10,0.07848680812232664,"[0.05324874752317026, 0.1024391027154334]",primary,ml1m,shapley-mc,additive-pref,HitRate@20,0.0007999200079992001,4.312745648939738e-10
6015,0.007547797173732337,"[0.0048212801330008315, 0.010241064006650041]","[0.005220282626766418, 0.009808811305070659]",9.999000099990002e-05,4.262613128903517e-09,0.06999183970924902,"[0.04491351723900799, 0.09406484993937612]",primary,ml1m,shapley-mc,attention,HitRate@20,0.0007999200079992001,1.278783938671055e-08
6015,0.00036575228595178716,"[-0.0014297589359933503, 0.002227763923524522]","[-0.0011305070656691606, 0.0018952618453865336]",0.7153284671532847,0.9505227652356607,0.005061852684145526,"[-0.020184481036828225, 0.030051410176787894]",primary,ml1m,shapley-mc,loo-marginal,HitRate@20,0.7153284671532847,0.9505227652356607
7417,0.002095786807064851,"[0.0014818625296481053, 0.0027307775160981523]","[0.0015842589301469597, 0.002618759708911959]",9.999000099990002e-05,8.582603348191599e-12,0.0757454950773227,"[0.05809803621899714, 0.09226191565126841]",primary,amazon_books,shapley-mc,uniform,NDCG@20,0.0007999200079992001,5.149562008914959e-11
7417,0.0021910856502629092,"[0.0015636926306458136, 0.0028514366429958204]","[0.0016612764153431303, 0.002732618880922205]",9.999000099990002e-05,2.568593629982952e-12,0.0775423822331453,"[0.060330259276405444, 0.09387073219341441]",primary,amazon_books,shapley-mc,additive-pref,NDCG@20,0.0007999200079992001,1.7980155409880664e-11
7417,0.002338170993932857,"[0.0016987078956451393, 0.0029994014371511387]","[0.0018027588478765, 0.0028939964120803558]",9.999000099990002e-05,1.5881071684091414e-12,0.08175947850972182,"[0.06440559521528849, 0.098634033918006]",primary,amazon_books,shapley-mc,attention,NDCG@20,0.0007999200079992001,1.2704857347273131e-11
7417,-0.0004935586692732911,"[-0.0007878092780032357, -0.00019991539433733324]","[-0.0007420288531346904, -0.0002482320675475261]",0.0011998800119988001,1.286320259446428e-05,-0.037649295847600274,"[-0.05977301893471542, -0.015279648510896332]",primary,amazon_books,shapley-mc,loo-marginal,NDCG@20,0.0023997600239976003,2.572640518892856e-05
7417,0.003397600107860321,"[0.0020223810165835247, 0.0047728191991371184]","[0.002238101658352434, 0.004557098557368209]",9.999000099990002e-05,1.1364580171006981e-06,0.05586110774145106,"[0.034298199331799804, 0.0765752766336651]",primary,amazon_books,shapley-mc,uniform,HitRate@20,0.0007999200079992001,3.4093740513020942e-06
7417,0.003640285829850344,"[0.002292031818794661, 0.005069435081569367]","[0.00250775246056357, 0.0048267493595793454]",9.999000099990002e-05,1.5416730708382549e-07,0.060351155864677604,"[0.03894692475998671, 0.08129643866590013]",primary,amazon_books,shapley-mc,additive-pref,HitRate@20,0.0007999200079992001,6.166692283353019e-07
7417,0.004152622354051503,"[0.0027504381825535934, 0.005581771605770528]","[0.002993123904543616, 0.005339085883780503]",9.999000099990002e-05,4.473243354208838e-09,0.06725557186892869,"[0.046088072743340945, 0.08699677323502537]",primary,amazon_books,shapley-mc,attention,HitRate@20,0.0007999200079992001,2.2366216771044188e-08
7417,-0.0007010920857489551,"[-0.0014561143319401376, 5.393016044222725e-05]","[-0.001348254011055683, -8.089524066334096e-05]",0.0821917808219178,0.04849856936807483,-0.02135078810288458,"[-0.043807030706147075, 0.001580382388745937]",primary,amazon_books,shapley-mc,loo-marginal,HitRate@20,0.0821917808219178,0.04849856936807483
6015,0.0037484844694929344,"[0.0025984921731421447, 0.0048598569640399]","[0.002782087173416459, 0.004687790955561096]",9.999000099990002e-05,1.1116935799547965e-16,0.08279652506507863,"[0.057082131500300295, 0.10760299409782428]",loo_treatment,ml1m,loo-marginal,uniform,NDCG@20,0.000999900009999,1.1116935799547966e-15
6015,0.003652707435411471,"[0.002496719696924356, 0.0048054348601745634]","[0.00269499644872818, 0.00461991410088113]",9.999000099990002e-05,1.3503428085959184e-16,0.07877527502906147,"[0.053863535389126235, 0.10442395302609198]",loo_treatment,ml1m,loo-marginal,additive-pref,NDCG@20,0.000999900009999,1.2153085277363266e-15
6015,0.003272450312551954,"[0.001994820563823774, 0.00452327794052369]","[0.00220623084078138, 0.004332698054098087]",9.999000099990002e-05,6.542440581022953e-15,0.06616944866895286,"[0.039774297612150004, 0.09318047475874919]",loo_treatment,ml1m,loo-marginal,attention,NDCG@20,0.000999900009999,4.579708406716067e-14
6015,0.003632008982543641,"[0.0024543850077722354, 0.0048093603095344965]","[0.0026505890601995013, 0.004634782386733167]",9.999000099990002e-05,2.293644702675131e-16,0.07824211423495671,"[0.05244443643182166, 0.10424899581184317]",loo_treatment,ml1m,loo-marginal,heuristic-pop,NDCG@20,0.000999900009999,1.834915762140105e-15
6015,0.0005320968532003325,"[-0.00011643180151288441, 0.001177713034987531]","[-8.375688861180362e-06, 0.0010772008492269326]",0.10468953104689531,1.7533756259692713e-05,0.02096639149014821,"[-0.004544974721348806, 0.0468809018012942]",loo_treatment,ml1m,loo-marginal,shapley-mc,NDCG@20,0.20937906209379062,3.5067512519385427e-05
6015,0.007813798836242726,"[0.004621778886118038, 0.011072319201995012]","[0.005087281795511222, 0.01054031587697423]",9.999000099990002e-05,2.619225585022799e-07,0.06133878327073118,"[0.036388837599458816, 0.08696441699644228]",loo_treatment,ml1m,loo-marginal,uniform,HitRate@20,0.000999900009999,1.5715353510136795e-06
6015,0.007680798004987532,"[0.0044555278470490445, 0.010939318370739819]","[0.004987531172069826, 0.010440565253532836]",0.00019998000199980003,6.490264150713871e-07,0.05937336128794921,"[0.03442147525368355, 0.08433162160180907]",loo_treatment,ml1m,loo-marginal,additive-pref,HitRate@20,0.000999900009999,3.0164646381727605e-06
6015,0.007182044887780549,"[0.00372402327514547, 0.01060681629260183]","[0.00428927680798005, 0.010108063175394847]",9.999000099990002e-05,9.491037071624336e-06,0.05262619139427253,"[0.027444764866720914, 0.07796700040312635]",loo_treatment,ml1m,loo-marginal,attention,HitRate@20,0.000999900009999,2.8473111214873008e-05
6015,0.007647547797173733,"[0.0043890274314214465, 0.010972568578553617]","[0.004954280964256027, 0.010440565253532834]",9.999000099990002e-05,6.032929276345521e-07,0.05912718386748313,"[0.03451485834735418, 0.08454211130229551]",loo_treatment,ml1m,loo-marginal,heuristic-pop,HitRate@20,0.000999900009999,3.0164646381727605e-06
6015,-0.00036575228595178716,"[-0.0021945137157107233, 0.0014630091438071488]","[-0.0018952618453865336, 0.0011637572734829597]",0.7183281671832816,0.9505227652356607,-0.005061852684145526,"[-0.02975046933488976, 0.020584467983571733]",loo_treatment,ml1m,loo-marginal,shapley-mc,HitRate@20,0.7183281671832816,0.9505227652356607
7417,0.0025893454763381424,"[0.0018225384237764597, 0.0033909533327019007]","[0.001937160696427127, 0.0032656747868814884]",9.999000099990002e-05,1.5680605999072057e-11,0.07446687508990196,"[0.05514669004906189, 0.09282035702339478]",loo_treatment,amazon_books,loo-marginal,uniform,NDCG@20,0.000999900009999,1.2544484799257646e-10
7417,0.0026846443195362004,"[0.0018843941429958202, 0.0034882963296278802]","[0.0020210351424025884, 0.0033494078345557496]",9.999000099990002e-05,5.579167714682447e-12,0.07618578118462725,"[0.05669393616909487, 0.09420351239981059]",loo_treatment,amazon_books,loo-marginal,additive-pref,NDCG@20,0.000999900009999,5.0212509432142023e-11
7417,0.002831729663206148,"[0.0020553978373668604, 0.003638809497728191]","[0.0021818319319131725, 0.0035065198351085345]",9.999000099990002e-05,2.798033084591091e-12,0.08020096646841804,"[0.06171625498722859, 0.09811620377156077]",loo_treatment,amazon_books,loo-marginal,attention,NDCG@20,0.000999900009999,2.798033084591091e-11
7417,0.0024154950006741267,"[0.0016588436977349333, 0.003201157258709721]","[0.001776300818228394, 0.0030772939100849397]",9.999000099990002e-05,4.080472680886779e-11,0.07091812997213946,"[0.05117371106885855, 0.08972623561928424]",loo_treatment,amazon_books,loo-marginal,heuristic-pop,NDCG@20,0.000999900009999,2.8563308766207454e-10
7417,0.0004935586692732911,"[0.0002004144381488473, 0.0007875739178576243]","[0.00024785012688418505, 0.0007423412952945935]",0.0007999200079992001,1.286320259446428e-05,0.037649295847600274,"[0.01488555019382372, 0.05996969947922464]",loo_treatment,amazon_books,loo-marginal,shapley-mc,NDCG@20,0.0015998400159984002,2.572640518892856e-05
