n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
6015,0.004854397547797174,"[0.0032638564607980047, 0.006468873238570241]","[0.0035043522178221116, 0.006208477140315877]",9.999000099990002e-05,2.262977525143422e-22,0.07708881594348001,"[0.0500841465950839, 0.10586323842860638]",ngcf_loo,ml1m,loo-marginal,uniform,NDCG@20,0.0011998800119988001,2.7155730301721065e-21
6015,0.004539797465336659,"[0.0029262367674646717, 0.0061338954029758926]","[0.0031831355334330843, 0.005900232434713217]",9.999000099990002e-05,2.0621945385156433e-21,0.07102170844241591,"[0.04409064152840887, 0.09918522299840862]",ngcf_loo,ml1m,loo-marginal,additive-pref,NDCG@20,0.0011998800119988001,2.0621945385156433e-20
6015,0.0040248829409808805,"[0.00236673724433084, 0.005704525123491271]","[0.002620746738719867, 0.005438071419052368]",9.999000099990002e-05,5.646925557485078e-20,0.06086675402829399,"[0.03426919648225777, 0.08980303859361188]",ngcf_loo,ml1m,loo-marginal,attention,NDCG@20,0.0011998800119988001,5.08223300173657e-19
6015,0.004681919561097257,"[0.0030536220588611804, 0.00626428864267664]","[0.003310124545103907, 0.006005138913915212]",9.999000099990002e-05,6.4073609193281535e-22,0.07376124422718687,"[0.04633508417660941, 0.10170946552811799]",ngcf_loo,ml1m,loo-marginal,heuristic-pop,NDCG@20,0.0011998800119988001,7.04809701126097e-21
6015,0.0041453007138819616,"[0.002611896388669992, 0.005609063159850374]","[0.002856433933366584, 0.005391996782676639]",9.999000099990002e-05,1.0131092792079763e-19,0.068923300193233,"[0.04192875789784933, 0.09662429270843642]",ngcf_loo,ml1m,loo-marginal,valid-sim,NDCG@20,0.0011998800119988001,8.10487423366381e-19
6015,0.002623926684954281,"[0.0014622346612801328, 0.003799247206201163]","[0.0016381469190024935, 0.003597555417556109]",9.999000099990002e-05,1.5509780355363037e-07,0.05693228772394182,"[0.031586737094987556, 0.08276084759647837]",ngcf_loo,ml1m,loo-marginal,valid-linear,NDCG@20,0.0011998800119988001,3.1019560710726075e-07
6015,0.011770573566084788,"[0.00801330008312552, 0.015527847049044058]","[0.008645054031587697, 0.014896093100581882]",9.999000099990002e-05,1.9693761217194014e-11,0.07900606497697188,"[0.05386868511093279, 0.10471028067683277]",ngcf_loo,ml1m,loo-marginal,uniform,HitRate@20,0.0011998800119988001,1.378563285203581e-10
6015,0.01113881961762261,"[0.0072152950955943485, 0.014995843724023274]","[0.007847049044056526, 0.014330839567747299]",9.999000099990002e-05,2.3121103808854965e-10,0.07422076871728739,"[0.04797597625117229, 0.0996325669635746]",ngcf_loo,ml1m,loo-marginal,additive-pref,HitRate@20,0.0011998800119988001,1.1560551904427481e-09
6015,0.010374064837905237,"[0.006450540315876975, 0.014297589359933499]","[0.007082294264339153, 0.013632585203657522]",9.999000099990002e-05,3.970463390181863e-09,0.06726870463064605,"[0.04163372186065605, 0.09233240785126524]",ngcf_loo,ml1m,loo-marginal,attention,HitRate@20,0.0011998800119988001,1.2541437747118638e-08
6015,0.011238570241064005,"[0.007381546134663341, 0.014962593516209476]","[0.00798004987531172, 0.014430590191188697]",9.999000099990002e-05,1.6103054144816801e-10,0.07487808781460702,"[0.04908449567564319, 0.10027814189938485]",ngcf_loo,ml1m,loo-marginal,heuristic-pop,HitRate@20,0.0011998800119988001,9.661832486890081e-10
