n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
6015,0.003707613590689942,"[0.002557380318004988, 0.004895734380108063]","[0.0027496380864837906, 0.004714576381928511]",9.999000099990002e-05,4.295742526674945e-17,0.07983415536736752,"[0.054424371077193986, 0.10686653270375955]",v7_loo,ml1m,loo-marginal,uniform,NDCG@20,0.0011998800119988001,5.154891032009934e-16
6015,0.003488931210307564,"[0.0023232726733915213, 0.004675935127672484]","[0.00251212732078138, 0.004495637745153781]",9.999000099990002e-05,5.239418780933037e-16,0.0739503254130806,"[0.048855343017682816, 0.10077623280056297]",v7_loo,ml1m,loo-marginal,additive-pref,NDCG@20,0.0011998800119988001,5.763360659026341e-15
6015,0.0030076321828761427,"[0.001702255472227764, 0.0043086867908811305]","[0.0019263924638403991, 0.004096225105552785]",9.999000099990002e-05,6.012274335401997e-13,0.05863922576202054,"[0.03238758384705982, 0.08595188776618047]",v7_loo,ml1m,loo-marginal,attention,NDCG@20,0.0011998800119988001,5.411046901861797e-12
6015,0.003414858855527847,"[0.0021869941276807976, 0.004603084912078137]","[0.002398524434214464, 0.004413051198586866]",9.999000099990002e-05,1.8342992637591297e-15,0.07196044772844547,"[0.04533598052073492, 0.0989625702884521]",v7_loo,ml1m,loo-marginal,heuristic-pop,NDCG@20,0.0011998800119988001,1.8342992637591297e-14
6015,0.0018095286330839567,"[0.0008847778336242727, 0.0027036259622028264]","[0.001040525184937656, 0.002565448837273483]",9.999000099990002e-05,5.280660644283615e-10,0.049747046465803045,"[0.024127376890793615, 0.07521355091005781]",v7_loo,ml1m,loo-marginal,valid-sim,NDCG@20,0.0011998800119988001,4.224528515426892e-09
6015,0.001126708766084788,"[0.0004020364249625935, 0.0018467367155527838]","[0.0005222981521197007, 0.0017431589993349946]",0.0021997800219978004,9.440146584068613e-06,0.03904359407448999,"[0.013970923631083161, 0.06490073723147735]",v7_loo,ml1m,loo-marginal,valid-linear,NDCG@20,0.0071992800719928,3.776058633627445e-05
6015,0.007414796342477141,"[0.004189526184538654, 0.010640066500415627]","[0.004721529509559435, 0.010141313383208644]",9.999000099990002e-05,3.0398066427359966e-07,0.05838738518381496,"[0.03329693437969993, 0.08380483961332917]",v7_loo,ml1m,loo-marginal,uniform,HitRate@20,0.0011998800119988001,2.1278646499151975e-06
6015,0.006816292601828763,"[0.003491271820448878, 0.010074812967581047]","[0.004023275145469659, 0.009542809642560265]",9.999000099990002e-05,2.7105648866185626e-06,0.052587451539793294,"[0.026916606307410235, 0.07760856703757832]",v7_loo,ml1m,loo-marginal,additive-pref,HitRate@20,0.0011998800119988001,1.6263389319711374e-05
6015,0.005752285951787199,"[0.0021945137157107233, 0.009276807980049874]","[0.002726517040731505, 0.008678304239401496]",0.0017998200179982,0.0003457810896881012,0.04130442835542136,"[0.015614945473598624, 0.06669488536682568]",v7_loo,ml1m,loo-marginal,attention,HitRate@20,0.0071992800719928,0.0010373432690643036
6015,0.006716541978387366,"[0.0033915211970074817, 0.01000831255195345]","[0.003923524522028264, 0.009476309226932668]",9.999000099990002e-05,2.987284901608446e-06,0.05207410628656098,"[0.026442103348114043, 0.07764242996940393]",v7_loo,ml1m,loo-marginal,heuristic-pop,HitRate@20,0.0011998800119988001,1.6263389319711374e-05
6015,0.0025602660016625107,"[-1.8457573144208592e-21, 0.005120532003325021]","[0.00039733998337489754, 0.004688279301745636]",0.0532946705329467,0.026275599821712833,0.025297315020872187,"[-1.8565938590937583e-20, 0.050735835016986114]",v7_loo,ml1m,loo-marginal,valid-sim,HitRate@20,0.1065893410658934,0.05255119964342567
6015,0.001596009975062344,"[-0.000532003325020781, 0.0036907730673316707]","[-0.00016625103906899396, 0.0033250207813798837]",0.14128587141285873,0.13713854496812025,0.019418798074773987,"[-0.006260572540701374, 0.044921137064288096]",v7_loo,ml1m,loo-marginal,valid-linear,HitRate@20,0.14128587141285873,0.13713854496812025
6015,0.0033090938094763093,"[0.00245035274879468, 0.004183859273441396]","[0.0025922481555777223, 0.004043960029509558]",9.999000099990002e-05,3.2907299627749322e-21,0.0962234820673367,"[0.06911460793509225, 0.12305247820141736]",v7_shapley,ml1m,shapley-mc,uniform,NDCG@20,0.0007999200079992001,2.6325839702199458e-20
6015,0.0014110088518703243,"[0.0008487776987863676, 0.001979840883275146]","[0.0009272829728512054, 0.0018874261093266831]",9.999000099990002e-05,5.6166818583541785e-11,0.06274094226174916,"[0.037461542928084526, 0.08756182657298078]",v7_shapley,ml1m,shapley-mc,valid-sim,NDCG@20,0.0007999200079992001,3.370009115012507e-10
6015,0.0007281889848711553,"[0.00012624573699085607, 0.001336538751022444]","[0.0002201980385037406, 0.0012437149130008307]",0.0207979202079792,0.033008535741069635,0.030750392388366552,"[0.005395972435344209, 0.05658924404252018]",v7_shapley,ml1m,shapley-mc,valid-linear,NDCG@20,0.0623937606239376,0.06601707148213927
6015,-0.00039851978121363253,"[-0.0010360377228512056, 0.00025321521530340796]","[-0.0009491826652202827, 0.00015137209168744788]",0.23967603239676033,0.0002294660013508154,-0.015413336433154403,"[-0.040744806057722245, 0.009639949150576416]",v7_shapley,ml1m,shapley-mc,loo-marginal,NDCG@20,0.47935206479352066,0.0009178640054032616
6015,0.008478802992518703,"[0.005951787198669991, 0.01113881961762261]","[0.006350789692435578, 0.010673316708229427]",9.999000099990002e-05,2.4848998990147814e-11,0.08152685343393788,"[0.057718560231935945, 0.10604893549962506]",v7_shapley,ml1m,shapley-mc,uniform,HitRate@20,0.0007999200079992001,1.739429929310347e-10
6015,0.003624272651704073,"[0.001828761429758936, 0.00541978387364921]","[0.0021280133000831257, 0.0051205320033250205]",9.999000099990002e-05,8.40757095781998e-05,0.05100874087255363,"[0.02638794755065009, 0.075124094299497]",v7_shapley,ml1m,shapley-mc,valid-sim,HitRate@20,0.0007999200079992001,0.00042037854789099896
6015,0.002660016625103907,"[0.0008645054031587699, 0.004422277639235245]","[0.0011637572734829594, 0.004156275976724855]",0.0034996500349965005,0.0026184808310029156,0.03794308655116583,"[0.01263729181257554, 0.06206856017663154]",v7_shapley,ml1m,shapley-mc,valid-linear,HitRate@20,0.013998600139986002,0.007855442493008747
6015,0.0010640066500415626,"[-0.0006982543640897756, 0.0029260182876142977]","[-0.000432252701579385, 0.002626766417290108]",0.2705729427057294,0.3073518485653375,0.014680110076197697,"[-0.00984586016604034, 0.039517569351240185]",v7_shapley,ml1m,shapley-mc,loo-marginal,HitRate@20,0.47935206479352066,0.3073518485653375
