Dataset,Contrast,Metric,Mean difference,95% CI,p,Holm reject,Improved,Harmed,Unchanged,d_z
MovieLens-1M,shapley-mc vs uniform,NDCG@20,0.0032163876162926,"[0.002707, 0.003715]",< 0.0005,True,0.0601163757273483,0.0291936824605153,0.9106899418121364,0.0716061111643127
MovieLens-1M,shapley-mc vs uniform,HitRate@20,0.0081795511221945,"[0.006517, 0.009875]",< 0.0005,True,0.0151620947630922,0.0069825436408977,0.97785536159601,0.0550484390863832
MovieLens-1M,shapley-mc vs additive-pref,NDCG@20,0.0031206105822111,"[0.002606, 0.003628]",< 0.0005,True,0.0594513715710723,0.0292601828761429,0.9112884455527848,0.0693141523645084
MovieLens-1M,shapley-mc vs additive-pref,HitRate@20,0.0080465502909393,"[0.006384, 0.009742]",< 0.0005,True,0.0150623441396508,0.0070157938487115,0.9779218620116376,0.0542324264221726
MovieLens-1M,shapley-mc vs attention,NDCG@20,0.0027403534593516,"[0.002207, 0.003271]",< 0.0005,True,0.0589193682460515,0.0310889443059019,0.9099916874480466,0.0581723092548503
MovieLens-1M,shapley-mc vs attention,HitRate@20,0.0075477971737323,"[0.005786, 0.009211]",< 0.0005,True,0.0154280964256026,0.0078802992518703,0.976691604322527,0.0494980625610491
MovieLens-1M,shapley-mc vs loo-marginal,NDCG@20,-0.0005320968532003,"[-0.000963, -0.000119]",0.008,True,0.031886949293433,0.0496758104738154,0.9184372402327514,-0.0142965170693105
MovieLens-1M,shapley-mc vs loo-marginal,HitRate@20,0.0003657522859517,"[-0.000899, 0.001696]",0.575,False,0.0068162926018287,0.0064505403158769,0.9867331670822944,0.003175399620845
Amazon-Book,shapley-mc vs uniform,NDCG@20,0.0020957868070648,"[0.001703, 0.002474]",< 0.0005,True,0.0233247943912633,0.0135634353512201,0.9631117702575164,0.0567781921583852
Amazon-Book,shapley-mc vs uniform,HitRate@20,0.0033976001078603,"[0.002427, 0.004395]",< 0.0005,True,0.0064716192530672,0.0030740191452069,0.9904543616017256,0.0347957879352558
Amazon-Book,shapley-mc vs additive-pref,NDCG@20,0.0021910856502629,"[0.001789, 0.002575]",< 0.0005,True,0.0231630039099366,0.0132668194687879,0.9635701766212754,0.05907937489075
Amazon-Book,shapley-mc vs additive-pref,HitRate@20,0.0036402858298503,"[0.002670, 0.004638]",< 0.0005,True,0.0064985843332883,0.002858298503438,0.9906431171632736,0.0376592604059386
Amazon-Book,shapley-mc vs attention,NDCG@20,0.0023381709939328,"[0.001935, 0.002730]",< 0.0005,True,0.0230012134286099,0.0128084131050289,0.964190373466361,0.0615981351635783
Amazon-Book,shapley-mc vs attention,HitRate@20,0.0041526223540515,"[0.003128, 0.005097]",< 0.0005,True,0.0068760954563839,0.0027234731023324,0.9904004314412836,0.0424210242124686
Amazon-Book,shapley-mc vs loo-marginal,NDCG@20,-0.0004935586692732,"[-0.000709, -0.000281]",< 0.0005,True,0.0103545908049076,0.0162869084535526,0.9733585007415396,-0.0228248237212377
Amazon-Book,shapley-mc vs loo-marginal,HitRate@20,-0.0007010920857489,"[-0.001375, -0.000054]",0.036,True,0.0017527302143723,0.0024538223001213,0.9957934474855062,-0.0108101426894248
